source_county,month,movement_class,class_total,anchor_destination,anchor_count,conditional_remainder,total_variation_residual
GWYNEDD,6,indirect,227.0,LANCASHIRE,18.0,209.0,0.18931702814951548
GWYNEDD,7,direct,1321.0,LANCASHIRE,669.0,652.0,0.23373834754202852
GWYNEDD,7,indirect,172.0,LANCASHIRE,13.0,159.0,0.3020464195638987
GWYNEDD,8,direct,2415.0,LANCASHIRE,1104.0,1311.0,0.27074702566693415
GWYNEDD,8,indirect,392.0,LANCASHIRE,29.0,363.0,0.38218246143949886
HAMPSHIRE,6,direct,1496.0,SOMERSET,224.0,1272.0,0.1645348953372983
HAMPSHIRE,6,indirect,88.0,SOMERSET,12.0,76.0,0.18984333744059145
HAMPSHIRE,7,direct,1305.0,SOMERSET,163.0,1142.0,0.18025052499222635
HAMPSHIRE,7,indirect,66.0,SOMERSET,12.0,54.0,0.13712374581939799
HAMPSHIRE,8,direct,1156.0,SOMERSET,156.0,1000.0,0.07506494881750794
HAMPSHIRE,8,indirect,75.0,SOMERSET,17.0,58.0,0.2845115903586668
HEREFORD & WORCESTER,6,direct,5523.0,SHROPSHIRE,1509.0,4014.0,0.130619065289512
HEREFORD & WORCESTER,6,indirect,1578.0,SHROPSHIRE,89.0,1489.0,0.1323516471006573
HEREFORD & WORCESTER,7,direct,5758.0,SHROPSHIRE,1555.0,4203.0,0.11288456106508825
HEREFORD & WORCESTER,7,indirect,1382.0,SHROPSHIRE,128.0,1254.0,0.18744848438236805
HEREFORD & WORCESTER,8,direct,4282.0,SHROPSHIRE,1157.0,3125.0,0.1271487064532902
HEREFORD & WORCESTER,8,indirect,1549.0,SHROPSHIRE,77.0,1472.0,0.1814567935223815
HERTFORDSHIRE,6,direct,195.0,LINCOLNSHIRE,27.0,168.0,0.29542766151046407
HERTFORDSHIRE,6,indirect,33.0,LINCOLNSHIRE,0.0,33.0,0.3865598995132674
HERTFORDSHIRE,7,direct,142.0,LINCOLNSHIRE,0.0,142.0,0.31569032026554233
HERTFORDSHIRE,7,indirect,33.0,LINCOLNSHIRE,3.0,30.0,0.3625215889464594
HERTFORDSHIRE,8,direct,132.0,LINCOLNSHIRE,0.0,132.0,0.26894421926269063
HERTFORDSHIRE,8,indirect,40.0,LINCOLNSHIRE,0.0,40.0,0.5382124352331606
HIGHLAND,6,direct,1385.0,GRAMPIAN,454.0,931.0,0.05299778657352921
HIGHLAND,6,indirect,305.0,GRAMPIAN,96.0,209.0,0.06223501166374366
HIGHLAND,7,direct,1051.0,GRAMPIAN,264.0,787.0,0.04878201883846896
HIGHLAND,7,indirect,265.0,GRAMPIAN,96.0,169.0,0.0698319610857251
HIGHLAND,8,direct,1225.0,GRAMPIAN,287.0,938.0,0.10349606483690166
