Month & Year of Movement,From County,To County,To Location Type,Direct Movements,Indirect Movements
May-10,STAFFORDSHIRE,DURHAM,Slaughterhouse,0,15
May-10,STAFFORDSHIRE,GLOUCESTERSHIRE,Slaughterhouse,0,1
May-10,STAFFORDSHIRE,GREATER MANCHESTER,Slaughterhouse,23,123
May-10,STAFFORDSHIRE,HUMBERSIDE,Slaughterhouse,0,1
May-10,STAFFORDSHIRE,LANCASHIRE,Slaughterhouse,318,52
May-10,STAFFORDSHIRE,LINCOLNSHIRE,Slaughterhouse,125,15
May-10,STAFFORDSHIRE,MID GLAMORGAN,Slaughterhouse,147,0
May-10,STAFFORDSHIRE,NORTH YORKSHIRE,Slaughterhouse,1,0
May-10,STAFFORDSHIRE,OXFORDSHIRE,Slaughterhouse,0,47
May-10,STAFFORDSHIRE,SHROPSHIRE,Slaughterhouse,948,60
May-10,STAFFORDSHIRE,SOMERSET,Slaughterhouse,42,0
May-10,STAFFORDSHIRE,SOUTH YORKSHIRE,Slaughterhouse,92,23
May-10,STAFFORDSHIRE,STAFFORDSHIRE,Slaughterhouse,"1,217",291
May-10,STAFFORDSHIRE,STRATHCLYDE,Slaughterhouse,17,53
May-10,STAFFORDSHIRE,SURREY,Slaughterhouse,16,0
May-10,STAFFORDSHIRE,WARWICKSHIRE,Slaughterhouse,0,7
May-10,STAFFORDSHIRE,WEST MIDLANDS,Slaughterhouse,0,3
May-10,STAFFORDSHIRE,WEST YORKSHIRE,Slaughterhouse,40,94
May-10,STAFFORDSHIRE,WILTSHIRE,Slaughterhouse,0,18
May-10,STAFFORDSHIRE,,Slaughterhouse,337,106
May-10,STRATHCLYDE,BORDERS,Slaughterhouse,0,4
May-10,STRATHCLYDE,CENTRAL,Slaughterhouse,916,13
May-10,STRATHCLYDE,CUMBRIA,Slaughterhouse,125,95
May-10,STRATHCLYDE,DERBYSHIRE,Slaughterhouse,0,9
May-10,STRATHCLYDE,GRAMPIAN,Slaughterhouse,184,0
May-10,STRATHCLYDE,HIGHLAND,Slaughterhouse,52,38
May-10,STRATHCLYDE,LANCASHIRE,Slaughterhouse,140,124
May-10,STRATHCLYDE,SHROPSHIRE,Slaughterhouse,0,0
May-10,STRATHCLYDE,SOUTH YORKSHIRE,Slaughterhouse,84,67
May-10,STRATHCLYDE,STRATHCLYDE,Slaughterhouse,"2,938",398
May-10,STRATHCLYDE,TAYSIDE,Slaughterhouse,534,85
May-10,STRATHCLYDE,WEST YORKSHIRE,Slaughterhouse,0,1
May-10,STRATHCLYDE,,Slaughterhouse,390,203
May-10,SUFFOLK,AVON,Slaughterhouse,0,3
May-10,SUFFOLK,BEDFORDSHIRE,Slaughterhouse,93,4
May-10,SUFFOLK,CENTRAL,Slaughterhouse,0,10
May-10,SUFFOLK,DERBYSHIRE,Slaughterhouse,0,2
May-10,SUFFOLK,DEVON,Slaughterhouse,0,3
May-10,SUFFOLK,DURHAM,Slaughterhouse,0,4
May-10,SUFFOLK,ESSEX,Slaughterhouse,50,133
May-10,SUFFOLK,GREATER MANCHESTER,Slaughterhouse,0,2
May-10,SUFFOLK,HAMPSHIRE,Slaughterhouse,0,32
May-10,SUFFOLK,LANCASHIRE,Slaughterhouse,4,2
May-10,SUFFOLK,LINCOLNSHIRE,Slaughterhouse,434,3
May-10,SUFFOLK,MID GLAMORGAN,Slaughterhouse,158,0
May-10,SUFFOLK,NORFOLK,Slaughterhouse,360,30
May-10,SUFFOLK,NORTH YORKSHIRE,Slaughterhouse,0,2
May-10,SUFFOLK,NOTTINGHAMSHIRE,Slaughterhouse,0,2
May-10,SUFFOLK,SHROPSHIRE,Slaughterhouse,14,0
May-10,SUFFOLK,SOMERSET,Slaughterhouse,0,2
May-10,SUFFOLK,SOUTH YORKSHIRE,Slaughterhouse,5,2
May-10,SUFFOLK,STAFFORDSHIRE,Slaughterhouse,0,1
May-10,SUFFOLK,SUFFOLK,Slaughterhouse,8,0
May-10,SUFFOLK,SURREY,Slaughterhouse,0,2
May-10,SUFFOLK,WEST YORKSHIRE,Slaughterhouse,0,2
May-10,SUFFOLK,,Slaughterhouse,256,10
May-10,SURREY,BEDFORDSHIRE,Slaughterhouse,0,5
May-10,SURREY,DEVON,Slaughterhouse,0,3
May-10,SURREY,EAST SUSSEX,Slaughterhouse,4,0
May-10,SURREY,ESSEX,Slaughterhouse,0,1
May-10,SURREY,GREATER LONDON,Slaughterhouse,0,1
May-10,SURREY,HAMPSHIRE,Slaughterhouse,62,9
May-10,SURREY,HEREFORD & WORCESTER,Slaughterhouse,1,0
May-10,SURREY,KENT,Slaughterhouse,31,9
May-10,SURREY,SOMERSET,Slaughterhouse,4,3
May-10,SURREY,SURREY,Slaughterhouse,336,0
May-10,SURREY,WARWICKSHIRE,Slaughterhouse,0,0
May-10,SURREY,WEST SUSSEX,Slaughterhouse,7,0
May-10,SURREY,,Slaughterhouse,44,0
May-10,TAYSIDE,AVON,Slaughterhouse,0,1
May-10,TAYSIDE,CENTRAL,Slaughterhouse,"1,081",36
May-10,TAYSIDE,CLEVELAND,Slaughterhouse,0,1
May-10,TAYSIDE,CUMBRIA,Slaughterhouse,9,6
May-10,TAYSIDE,FIFE,Slaughterhouse,156,52
May-10,TAYSIDE,GRAMPIAN,Slaughterhouse,665,34
May-10,TAYSIDE,HIGHLAND,Slaughterhouse,3,0
May-10,TAYSIDE,HUMBERSIDE,Slaughterhouse,20,0
May-10,TAYSIDE,LANCASHIRE,Slaughterhouse,29,6
May-10,TAYSIDE,ORKNEY,Slaughterhouse,3,0
May-10,TAYSIDE,STRATHCLYDE,Slaughterhouse,258,60
May-10,TAYSIDE,TAYSIDE,Slaughterhouse,"1,227",18
May-10,TAYSIDE,,Slaughterhouse,163,59
May-10,TYNE & WEAR,BORDERS,Slaughterhouse,0,1
May-10,TYNE & WEAR,CENTRAL,Slaughterhouse,31,0
May-10,TYNE & WEAR,CLEVELAND,Slaughterhouse,0,7
May-10,TYNE & WEAR,CUMBRIA,Slaughterhouse,0,1
May-10,TYNE & WEAR,DURHAM,Slaughterhouse,9,12
May-10,TYNE & WEAR,GREATER MANCHESTER,Slaughterhouse,0,2
May-10,TYNE & WEAR,HUMBERSIDE,Slaughterhouse,0,3
May-10,TYNE & WEAR,MID GLAMORGAN,Slaughterhouse,6,0
May-10,TYNE & WEAR,NORTH YORKSHIRE,Slaughterhouse,2,0
May-10,TYNE & WEAR,SHROPSHIRE,Slaughterhouse,0,2
May-10,TYNE & WEAR,SOUTH YORKSHIRE,Slaughterhouse,14,0
May-10,TYNE & WEAR,TYNE & WEAR,Slaughterhouse,72,0
May-10,TYNE & WEAR,WEST YORKSHIRE,Slaughterhouse,0,5
May-10,TYNE & WEAR,,Slaughterhouse,0,5
May-10,WARWICKSHIRE,AVON,Slaughterhouse,0,7
May-10,WARWICKSHIRE,BEDFORDSHIRE,Slaughterhouse,44,8
May-10,WARWICKSHIRE,CENTRAL,Slaughterhouse,4,0
May-10,WARWICKSHIRE,DERBYSHIRE,Slaughterhouse,0,1
May-10,WARWICKSHIRE,DEVON,Slaughterhouse,0,8
May-10,WARWICKSHIRE,GLOUCESTERSHIRE,Slaughterhouse,0,2
May-10,WARWICKSHIRE,GREATER MANCHESTER,Slaughterhouse,0,3
May-10,WARWICKSHIRE,HAMPSHIRE,Slaughterhouse,4,0
May-10,WARWICKSHIRE,HEREFORD & WORCESTER,Slaughterhouse,16,2
May-10,WARWICKSHIRE,LANCASHIRE,Slaughterhouse,75,6
May-10,WARWICKSHIRE,LEICESTERSHIRE,Slaughterhouse,41,24
May-10,WARWICKSHIRE,LINCOLNSHIRE,Slaughterhouse,423,39
May-10,WARWICKSHIRE,MID GLAMORGAN,Slaughterhouse,185,0
May-10,WARWICKSHIRE,NORFOLK,Slaughterhouse,0,15
May-10,WARWICKSHIRE,NORTH YORKSHIRE,Slaughterhouse,73,46
May-10,WARWICKSHIRE,NOTTINGHAMSHIRE,Slaughterhouse,0,6
May-10,WARWICKSHIRE,OXFORDSHIRE,Slaughterhouse,104,75
May-10,WARWICKSHIRE,SHROPSHIRE,Slaughterhouse,83,12
May-10,WARWICKSHIRE,SOMERSET,Slaughterhouse,0,4
May-10,WARWICKSHIRE,SOUTH YORKSHIRE,Slaughterhouse,24,11
May-10,WARWICKSHIRE,STAFFORDSHIRE,Slaughterhouse,79,31
May-10,WARWICKSHIRE,STRATHCLYDE,Slaughterhouse,0,6
May-10,WARWICKSHIRE,SURREY,Slaughterhouse,68,4
May-10,WARWICKSHIRE,WARWICKSHIRE,Slaughterhouse,73,1
May-10,WARWICKSHIRE,WEST MIDLANDS,Slaughterhouse,3,0
May-10,WARWICKSHIRE,WEST YORKSHIRE,Slaughterhouse,0,5
May-10,WARWICKSHIRE,,Slaughterhouse,243,30
May-10,WESTERN ISLES,WESTERN ISLES,Slaughterhouse,6,0
May-10,WEST GLAMORGAN,AVON,Slaughterhouse,0,14
May-10,WEST GLAMORGAN,BEDFORDSHIRE,Slaughterhouse,0,6
May-10,WEST GLAMORGAN,DEVON,Slaughterhouse,0,1
May-10,WEST GLAMORGAN,DYFED,Slaughterhouse,29,8
May-10,WEST GLAMORGAN,GLOUCESTERSHIRE,Slaughterhouse,0,2
May-10,WEST GLAMORGAN,LANCASHIRE,Slaughterhouse,9,0
May-10,WEST GLAMORGAN,LINCOLNSHIRE,Slaughterhouse,0,6
May-10,WEST GLAMORGAN,MID GLAMORGAN,Slaughterhouse,75,0
May-10,WEST GLAMORGAN,OXFORDSHIRE,Slaughterhouse,0,1
May-10,WEST GLAMORGAN,SHROPSHIRE,Slaughterhouse,2,2
May-10,WEST GLAMORGAN,SOMERSET,Slaughterhouse,2,0
May-10,WEST GLAMORGAN,SOUTH YORKSHIRE,Slaughterhouse,33,0
May-10,WEST GLAMORGAN,SURREY,Slaughterhouse,11,0
May-10,WEST GLAMORGAN,TAYSIDE,Slaughterhouse,1,0
May-10,WEST GLAMORGAN,WEST GLAMORGAN,Slaughterhouse,26,0
May-10,WEST GLAMORGAN,WILTSHIRE,Slaughterhouse,0,2
May-10,WEST GLAMORGAN,,Slaughterhouse,19,7
May-10,WEST MIDLANDS,GREATER MANCHESTER,Slaughterhouse,0,4
May-10,WEST MIDLANDS,LANCASHIRE,Slaughterhouse,0,1
May-10,WEST MIDLANDS,LEICESTERSHIRE,Slaughterhouse,4,0
May-10,WEST MIDLANDS,LINCOLNSHIRE,Slaughterhouse,0,3
May-10,WEST MIDLANDS,MID GLAMORGAN,Slaughterhouse,19,0
May-10,WEST MIDLANDS,NORTH YORKSHIRE,Slaughterhouse,0,1
May-10,WEST MIDLANDS,NOTTINGHAMSHIRE,Slaughterhouse,0,3
May-10,WEST MIDLANDS,OXFORDSHIRE,Slaughterhouse,0,1
May-10,WEST MIDLANDS,SHROPSHIRE,Slaughterhouse,7,0
May-10,WEST MIDLANDS,SOUTH YORKSHIRE,Slaughterhouse,1,1
May-10,WEST MIDLANDS,STAFFORDSHIRE,Slaughterhouse,6,4
May-10,WEST MIDLANDS,STRATHCLYDE,Slaughterhouse,0,2
May-10,WEST MIDLANDS,WARWICKSHIRE,Slaughterhouse,2,0
May-10,WEST MIDLANDS,,Slaughterhouse,38,3
May-10,WEST SUSSEX,AVON,Slaughterhouse,0,2
May-10,WEST SUSSEX,BEDFORDSHIRE,Slaughterhouse,2,9
May-10,WEST SUSSEX,DEVON,Slaughterhouse,0,1
May-10,WEST SUSSEX,EAST SUSSEX,Slaughterhouse,3,2
May-10,WEST SUSSEX,GREATER LONDON,Slaughterhouse,7,1
May-10,WEST SUSSEX,HAMPSHIRE,Slaughterhouse,35,1
May-10,WEST SUSSEX,KENT,Slaughterhouse,4,4
May-10,WEST SUSSEX,LINCOLNSHIRE,Slaughterhouse,80,0
May-10,WEST SUSSEX,MID GLAMORGAN,Slaughterhouse,52,0
May-10,WEST SUSSEX,SOMERSET,Slaughterhouse,337,9
May-10,WEST SUSSEX,SURREY,Slaughterhouse,198,0
May-10,WEST SUSSEX,WEST SUSSEX,Slaughterhouse,26,0
May-10,WEST SUSSEX,,Slaughterhouse,59,0
May-10,WEST YORKSHIRE,CHESHIRE,Slaughterhouse,1,1
May-10,WEST YORKSHIRE,CLEVELAND,Slaughterhouse,7,76
May-10,WEST YORKSHIRE,CUMBRIA,Slaughterhouse,5,4
May-10,WEST YORKSHIRE,DURHAM,Slaughterhouse,83,31
May-10,WEST YORKSHIRE,GREATER MANCHESTER,Slaughterhouse,48,93
May-10,WEST YORKSHIRE,HUMBERSIDE,Slaughterhouse,54,9
May-10,WEST YORKSHIRE,LANCASHIRE,Slaughterhouse,241,23
May-10,WEST YORKSHIRE,LINCOLNSHIRE,Slaughterhouse,0,22
May-10,WEST YORKSHIRE,NORTH YORKSHIRE,Slaughterhouse,35,8
May-10,WEST YORKSHIRE,POWYS,Slaughterhouse,0,1
May-10,WEST YORKSHIRE,SHROPSHIRE,Slaughterhouse,4,3
May-10,WEST YORKSHIRE,SOUTH YORKSHIRE,Slaughterhouse,310,27
May-10,WEST YORKSHIRE,STRATHCLYDE,Slaughterhouse,0,5
May-10,WEST YORKSHIRE,WEST YORKSHIRE,Slaughterhouse,517,238
May-10,WEST YORKSHIRE,,Slaughterhouse,31,6
May-10,WILTSHIRE,AVON,Slaughterhouse,619,16
May-10,WILTSHIRE,BEDFORDSHIRE,Slaughterhouse,79,1
May-10,WILTSHIRE,DEVON,Slaughterhouse,49,32
May-10,WILTSHIRE,DORSET,Slaughterhouse,21,0
May-10,WILTSHIRE,GLOUCESTERSHIRE,Slaughterhouse,29,44
May-10,WILTSHIRE,GREATER MANCHESTER,Slaughterhouse,0,1
May-10,WILTSHIRE,HAMPSHIRE,Slaughterhouse,13,0
May-10,WILTSHIRE,HUMBERSIDE,Slaughterhouse,2,0
May-10,WILTSHIRE,LANCASHIRE,Slaughterhouse,36,0
May-10,WILTSHIRE,LINCOLNSHIRE,Slaughterhouse,121,0
May-10,WILTSHIRE,MID GLAMORGAN,Slaughterhouse,138,2
May-10,WILTSHIRE,OXFORDSHIRE,Slaughterhouse,38,8
May-10,WILTSHIRE,SHROPSHIRE,Slaughterhouse,62,13
May-10,WILTSHIRE,SOMERSET,Slaughterhouse,571,15
May-10,WILTSHIRE,SOUTH YORKSHIRE,Slaughterhouse,34,0
May-10,WILTSHIRE,STRATHCLYDE,Slaughterhouse,0,2
May-10,WILTSHIRE,SURREY,Slaughterhouse,48,0
May-10,WILTSHIRE,WARWICKSHIRE,Slaughterhouse,1,0
May-10,WILTSHIRE,WEST YORKSHIRE,Slaughterhouse,0,1
May-10,WILTSHIRE,WILTSHIRE,Slaughterhouse,243,7
May-10,WILTSHIRE,,Slaughterhouse,226,34
May-10,0,CENTRAL,Slaughterhouse,10,0
May-10,0,CLWYD,Slaughterhouse,0,0
May-10,0,CORNWALL,Slaughterhouse,2,0
May-10,0,CUMBRIA,Slaughterhouse,0,1
May-10,0,DEVON,Slaughterhouse,1,0
May-10,0,GRAMPIAN,Slaughterhouse,8,0
May-10,0,LANCASHIRE,Slaughterhouse,18,0
May-10,0,LINCOLNSHIRE,Slaughterhouse,220,0
May-10,0,SOUTH YORKSHIRE,Slaughterhouse,1,0
May-10,0,STRATHCLYDE,Slaughterhouse,1,0
May-10,0,TAYSIDE,Slaughterhouse,5,0
May-10,0,WEST YORKSHIRE,Slaughterhouse,1,0
Jun-10,AVON,AVON,Slaughterhouse,598,55
Jun-10,AVON,BEDFORDSHIRE,Slaughterhouse,49,5
Jun-10,AVON,CORNWALL,Slaughterhouse,24,23
Jun-10,AVON,DEVON,Slaughterhouse,0,27
Jun-10,AVON,DORSET,Slaughterhouse,0,1
Jun-10,AVON,DYFED,Slaughterhouse,0,1
Jun-10,AVON,GLOUCESTERSHIRE,Slaughterhouse,27,42
Jun-10,AVON,GRAMPIAN,Slaughterhouse,9,0
Jun-10,AVON,HUMBERSIDE,Slaughterhouse,4,0
Jun-10,AVON,KENT,Slaughterhouse,0,4
Jun-10,AVON,LANCASHIRE,Slaughterhouse,8,13
Jun-10,AVON,LINCOLNSHIRE,Slaughterhouse,79,9
Jun-10,AVON,MID GLAMORGAN,Slaughterhouse,146,0
Jun-10,AVON,OXFORDSHIRE,Slaughterhouse,0,32
Jun-10,AVON,SHROPSHIRE,Slaughterhouse,19,17
Jun-10,AVON,SOMERSET,Slaughterhouse,114,12
Jun-10,AVON,STAFFORDSHIRE,Slaughterhouse,1,0
Jun-10,AVON,SURREY,Slaughterhouse,23,0
Jun-10,AVON,WILTSHIRE,Slaughterhouse,365,17
Jun-10,AVON,,Slaughterhouse,6,35
Jun-10,BEDFORDSHIRE,BEDFORDSHIRE,Slaughterhouse,194,0
Jun-10,BEDFORDSHIRE,CAMBRIDGESHIRE,Slaughterhouse,16,0
Jun-10,BEDFORDSHIRE,CENTRAL,Slaughterhouse,9,0
Jun-10,BEDFORDSHIRE,GREATER LONDON,Slaughterhouse,4,0
Jun-10,BEDFORDSHIRE,LEICESTERSHIRE,Slaughterhouse,4,0
Jun-10,BEDFORDSHIRE,LINCOLNSHIRE,Slaughterhouse,77,0
Jun-10,BEDFORDSHIRE,OXFORDSHIRE,Slaughterhouse,3,1
Jun-10,BEDFORDSHIRE,SHROPSHIRE,Slaughterhouse,21,0
Jun-10,BEDFORDSHIRE,SOUTH YORKSHIRE,Slaughterhouse,0,3
Jun-10,BEDFORDSHIRE,SURREY,Slaughterhouse,18,0
Jun-10,BERKSHIRE,AVON,Slaughterhouse,31,2
Jun-10,BERKSHIRE,BEDFORDSHIRE,Slaughterhouse,36,0
Jun-10,BERKSHIRE,GLOUCESTERSHIRE,Slaughterhouse,0,3
Jun-10,BERKSHIRE,HAMPSHIRE,Slaughterhouse,167,4
Jun-10,BERKSHIRE,LANCASHIRE,Slaughterhouse,21,2
Jun-10,BERKSHIRE,LINCOLNSHIRE,Slaughterhouse,76,0
Jun-10,BERKSHIRE,MID GLAMORGAN,Slaughterhouse,6,0
Jun-10,BERKSHIRE,OXFORDSHIRE,Slaughterhouse,30,0
Jun-10,BERKSHIRE,SOMERSET,Slaughterhouse,162,0
Jun-10,BERKSHIRE,SOUTH YORKSHIRE,Slaughterhouse,0,7
Jun-10,BERKSHIRE,SURREY,Slaughterhouse,63,0
Jun-10,BERKSHIRE,WEST SUSSEX,Slaughterhouse,2,0
Jun-10,BERKSHIRE,WILTSHIRE,Slaughterhouse,3,0
Jun-10,BERKSHIRE,,Slaughterhouse,13,0
Jun-10,BORDERS,BORDERS,Slaughterhouse,272,157
Jun-10,BORDERS,CENTRAL,Slaughterhouse,"1,009",81
Jun-10,BORDERS,CUMBRIA,Slaughterhouse,32,11
Jun-10,BORDERS,DURHAM,Slaughterhouse,0,1
Jun-10,BORDERS,GRAMPIAN,Slaughterhouse,179,15
Jun-10,BORDERS,HIGHLAND,Slaughterhouse,104,60
Jun-10,BORDERS,LANCASHIRE,Slaughterhouse,111,4
Jun-10,BORDERS,NORFOLK,Slaughterhouse,0,1
Jun-10,BORDERS,SHROPSHIRE,Slaughterhouse,1,0
Jun-10,BORDERS,SOUTH YORKSHIRE,Slaughterhouse,79,0
Jun-10,BORDERS,STRATHCLYDE,Slaughterhouse,"1,182",130
Jun-10,BORDERS,TAYSIDE,Slaughterhouse,166,24
Jun-10,BORDERS,TYNE & WEAR,Slaughterhouse,45,0
Jun-10,BORDERS,WEST YORKSHIRE,Slaughterhouse,68,49
Jun-10,BORDERS,,Slaughterhouse,87,41
Jun-10,BUCKINGHAMSHIRE,AVON,Slaughterhouse,38,0
Jun-10,BUCKINGHAMSHIRE,BEDFORDSHIRE,Slaughterhouse,303,0
Jun-10,BUCKINGHAMSHIRE,CENTRAL,Slaughterhouse,95,0
Jun-10,BUCKINGHAMSHIRE,CORNWALL,Slaughterhouse,1,0
Jun-10,BUCKINGHAMSHIRE,GLOUCESTERSHIRE,Slaughterhouse,0,2
Jun-10,BUCKINGHAMSHIRE,GREATER LONDON,Slaughterhouse,21,0
Jun-10,BUCKINGHAMSHIRE,HAMPSHIRE,Slaughterhouse,30,9
Jun-10,BUCKINGHAMSHIRE,LANCASHIRE,Slaughterhouse,96,9
Jun-10,BUCKINGHAMSHIRE,LEICESTERSHIRE,Slaughterhouse,3,0
Jun-10,BUCKINGHAMSHIRE,LINCOLNSHIRE,Slaughterhouse,439,7
Jun-10,BUCKINGHAMSHIRE,MID GLAMORGAN,Slaughterhouse,245,25
Jun-10,BUCKINGHAMSHIRE,NORFOLK,Slaughterhouse,7,0
Jun-10,BUCKINGHAMSHIRE,NORTH YORKSHIRE,Slaughterhouse,0,1
Jun-10,BUCKINGHAMSHIRE,OXFORDSHIRE,Slaughterhouse,46,13
Jun-10,BUCKINGHAMSHIRE,SHROPSHIRE,Slaughterhouse,0,1
Jun-10,BUCKINGHAMSHIRE,SOMERSET,Slaughterhouse,53,0
Jun-10,BUCKINGHAMSHIRE,SOUTH YORKSHIRE,Slaughterhouse,45,19
Jun-10,BUCKINGHAMSHIRE,STAFFORDSHIRE,Slaughterhouse,0,4
Jun-10,BUCKINGHAMSHIRE,STRATHCLYDE,Slaughterhouse,0,1
Jun-10,BUCKINGHAMSHIRE,SURREY,Slaughterhouse,138,1
Jun-10,BUCKINGHAMSHIRE,WILTSHIRE,Slaughterhouse,8,0
Jun-10,BUCKINGHAMSHIRE,,Slaughterhouse,74,5
Jun-10,CAMBRIDGESHIRE,BEDFORDSHIRE,Slaughterhouse,236,5
Jun-10,CAMBRIDGESHIRE,CAMBRIDGESHIRE,Slaughterhouse,34,0
Jun-10,CAMBRIDGESHIRE,CORNWALL,Slaughterhouse,168,0
Jun-10,CAMBRIDGESHIRE,CUMBRIA,Slaughterhouse,0,5
Jun-10,CAMBRIDGESHIRE,DERBYSHIRE,Slaughterhouse,0,1
Jun-10,CAMBRIDGESHIRE,ESSEX,Slaughterhouse,8,12
Jun-10,CAMBRIDGESHIRE,GRAMPIAN,Slaughterhouse,0,8
Jun-10,CAMBRIDGESHIRE,GREATER MANCHESTER,Slaughterhouse,0,15
Jun-10,CAMBRIDGESHIRE,HAMPSHIRE,Slaughterhouse,0,7
Jun-10,CAMBRIDGESHIRE,LANCASHIRE,Slaughterhouse,0,12
Jun-10,CAMBRIDGESHIRE,LINCOLNSHIRE,Slaughterhouse,631,41
Jun-10,CAMBRIDGESHIRE,MID GLAMORGAN,Slaughterhouse,42,0
Jun-10,CAMBRIDGESHIRE,NORFOLK,Slaughterhouse,26,7
Jun-10,CAMBRIDGESHIRE,NORTH YORKSHIRE,Slaughterhouse,0,3
Jun-10,CAMBRIDGESHIRE,NOTTINGHAMSHIRE,Slaughterhouse,0,9
Jun-10,CAMBRIDGESHIRE,OXFORDSHIRE,Slaughterhouse,11,6
Jun-10,CAMBRIDGESHIRE,SHROPSHIRE,Slaughterhouse,24,1
Jun-10,CAMBRIDGESHIRE,SOUTH YORKSHIRE,Slaughterhouse,1,18
Jun-10,CAMBRIDGESHIRE,STAFFORDSHIRE,Slaughterhouse,0,9
Jun-10,CAMBRIDGESHIRE,STRATHCLYDE,Slaughterhouse,0,2
Jun-10,CAMBRIDGESHIRE,WEST YORKSHIRE,Slaughterhouse,0,1
Jun-10,CAMBRIDGESHIRE,,Slaughterhouse,0,40
Jun-10,CENTRAL,BORDERS,Slaughterhouse,0,3
Jun-10,CENTRAL,CENTRAL,Slaughterhouse,788,47
Jun-10,CENTRAL,CUMBRIA,Slaughterhouse,54,10
Jun-10,CENTRAL,GRAMPIAN,Slaughterhouse,154,17
Jun-10,CENTRAL,HIGHLAND,Slaughterhouse,6,2
Jun-10,CENTRAL,LANCASHIRE,Slaughterhouse,57,13
Jun-10,CENTRAL,SOUTH YORKSHIRE,Slaughterhouse,17,2
Jun-10,CENTRAL,STRATHCLYDE,Slaughterhouse,473,105
Jun-10,CENTRAL,TAYSIDE,Slaughterhouse,289,16
Jun-10,CENTRAL,,Slaughterhouse,73,16
Jun-10,CHESHIRE,AVON,Slaughterhouse,171,96
Jun-10,CHESHIRE,BEDFORDSHIRE,Slaughterhouse,17,42
Jun-10,CHESHIRE,CHESHIRE,Slaughterhouse,677,67
Jun-10,CHESHIRE,CLWYD,Slaughterhouse,2,20
Jun-10,CHESHIRE,CUMBRIA,Slaughterhouse,73,2
Jun-10,CHESHIRE,DERBYSHIRE,Slaughterhouse,62,8
Jun-10,CHESHIRE,DEVON,Slaughterhouse,130,175
Jun-10,CHESHIRE,DURHAM,Slaughterhouse,0,7
Jun-10,CHESHIRE,GREATER MANCHESTER,Slaughterhouse,138,84
Jun-10,CHESHIRE,GWYNEDD,Slaughterhouse,0,1
Jun-10,CHESHIRE,HUMBERSIDE,Slaughterhouse,91,58
Jun-10,CHESHIRE,LANCASHIRE,Slaughterhouse,755,44
Jun-10,CHESHIRE,LINCOLNSHIRE,Slaughterhouse,77,0
Jun-10,CHESHIRE,MERSEYSIDE,Slaughterhouse,6,0
Jun-10,CHESHIRE,SHROPSHIRE,Slaughterhouse,401,71
Jun-10,CHESHIRE,SOUTH YORKSHIRE,Slaughterhouse,43,18
Jun-10,CHESHIRE,STAFFORDSHIRE,Slaughterhouse,324,235
Jun-10,CHESHIRE,STRATHCLYDE,Slaughterhouse,212,56
Jun-10,CHESHIRE,SURREY,Slaughterhouse,8,0
Jun-10,CHESHIRE,TYNE & WEAR,Slaughterhouse,0,4
Jun-10,CHESHIRE,WEST YORKSHIRE,Slaughterhouse,142,122
Jun-10,CHESHIRE,WILTSHIRE,Slaughterhouse,0,12
Jun-10,CHESHIRE,,Slaughterhouse,334,163
Jun-10,CLEVELAND,CENTRAL,Slaughterhouse,0,13
Jun-10,CLEVELAND,CLEVELAND,Slaughterhouse,18,70
Jun-10,CLEVELAND,CUMBRIA,Slaughterhouse,0,19
Jun-10,CLEVELAND,DURHAM,Slaughterhouse,26,81
Jun-10,CLEVELAND,GREATER MANCHESTER,Slaughterhouse,1,56
Jun-10,CLEVELAND,HIGHLAND,Slaughterhouse,0,12
Jun-10,CLEVELAND,HUMBERSIDE,Slaughterhouse,26,1
Jun-10,CLEVELAND,LANCASHIRE,Slaughterhouse,15,8
Jun-10,CLEVELAND,LINCOLNSHIRE,Slaughterhouse,0,2
Jun-10,CLEVELAND,NORTH YORKSHIRE,Slaughterhouse,71,29
Jun-10,CLEVELAND,SHROPSHIRE,Slaughterhouse,0,11
Jun-10,CLEVELAND,SOUTH YORKSHIRE,Slaughterhouse,0,1
Jun-10,CLEVELAND,STAFFORDSHIRE,Slaughterhouse,0,7
Jun-10,CLEVELAND,WEST YORKSHIRE,Slaughterhouse,5,55
Jun-10,CLEVELAND,,Slaughterhouse,12,24
Jun-10,CLWYD,AVON,Slaughterhouse,89,76
Jun-10,CLWYD,BEDFORDSHIRE,Slaughterhouse,4,27
Jun-10,CLWYD,CHESHIRE,Slaughterhouse,155,28
Jun-10,CLWYD,CLWYD,Slaughterhouse,379,86
Jun-10,CLWYD,CORNWALL,Slaughterhouse,1,0
Jun-10,CLWYD,CUMBRIA,Slaughterhouse,0,2
Jun-10,CLWYD,DERBYSHIRE,Slaughterhouse,7,3
Jun-10,CLWYD,DEVON,Slaughterhouse,1,68
Jun-10,CLWYD,DUMFRIES & GALLOWAY,Slaughterhouse,0,0
Jun-10,CLWYD,DURHAM,Slaughterhouse,0,1
Jun-10,CLWYD,DYFED,Slaughterhouse,0,1
Jun-10,CLWYD,GREATER MANCHESTER,Slaughterhouse,7,42
Jun-10,CLWYD,GWYNEDD,Slaughterhouse,164,146
Jun-10,CLWYD,HUMBERSIDE,Slaughterhouse,91,62
Jun-10,CLWYD,LANCASHIRE,Slaughterhouse,713,61
Jun-10,CLWYD,LINCOLNSHIRE,Slaughterhouse,35,0
Jun-10,CLWYD,MID GLAMORGAN,Slaughterhouse,5,0
