target_id,kind,checkpoint,destination,source_total_kg,observed_kg,lower_kg,upper_kg,covered,width_over_source
8982689288AAE8DF|2016-05-07|Bozola (Bamako),known_route,Sénou,Sélingué,10924.0,924.0,0.0,7870.825429562253,True,0.7205076372722677
8982689288AAE8DF|2016-05-07|Bozola (Bamako),known_route,Sénou,Wassoulou- Ballé,10924.0,0.0,0.0,7569.307350622149,True,0.6929062019976335
8982689288AAE8DF|2016-05-07|Bozola (Bamako),known_route,Sénou,Yanfolila,10924.0,0.0,0.0,7617.550243252565,True,0.697322431641575
8982689288AAE8DF|2016-05-07|Bozola (Bamako),unresolved_route,,UNRESOLVED,10924.0,10000.0,0.0,10924.0,True,1.0
8982689288AAE8DF|2016-05-08|Bozola (Bamako),known_route,Kati,Kéniéba,184.8,0.0,0.0,184.8,True,1.0
8982689288AAE8DF|2016-05-08|Bozola (Bamako),known_route,Kati,Sandaré,184.8,0.0,0.0,184.8,True,1.0
8982689288AAE8DF|2016-05-08|Bozola (Bamako),known_route,Moribabougou,Koulikoro,184.8,0.0,0.0,140.5968994164936,True,0.7608057327732338
8982689288AAE8DF|2016-05-08|Bozola (Bamako),known_route,Moribabougou,Sala,184.8,0.0,0.0,131.92563251061452,True,0.7138832928063555
8982689288AAE8DF|2016-05-08|Bozola (Bamako),known_route,Sénou,"Faraba (in Faraba, Kéniéba)",184.8,0.0,0.0,129.88533441511353,True,0.7028427186965017
8982689288AAE8DF|2016-05-08|Bozola (Bamako),known_route,Sénou,Sélingué,184.8,184.8,0.0,133.14981136791508,False,0.7205076372722677
8982689288AAE8DF|2016-05-08|Bozola (Bamako),known_route,Sénou,Wassoulou- Ballé,184.8,0.0,0.0,128.0490661291627,True,0.6929062019976336
8982689288AAE8DF|2016-05-08|Bozola (Bamako),known_route,Sénou,Yanfolila,184.8,0.0,0.0,128.86518536736307,True,0.697322431641575
8982689288AAE8DF|2016-05-08|Bozola (Bamako),unresolved_route,,UNRESOLVED,184.8,0.0,0.0,184.8,True,1.0
8982689288AAE8DF|2016-05-09|Bozola (Bamako),known_route,Kati,Kéniéba,6160.0,0.0,0.0,6160.0,True,1.0
8982689288AAE8DF|2016-05-09|Bozola (Bamako),known_route,Kati,Sandaré,6160.0,0.0,0.0,6160.0,True,1.0
8982689288AAE8DF|2016-05-09|Bozola (Bamako),known_route,Moribabougou,Koulikoro,6160.0,0.0,0.0,4686.56331388312,True,0.7608057327732337
8982689288AAE8DF|2016-05-09|Bozola (Bamako),known_route,Moribabougou,Sala,6160.0,0.0,0.0,4397.52108368715,True,0.7138832928063555
8982689288AAE8DF|2016-05-09|Bozola (Bamako),known_route,Sénou,"Faraba (in Faraba, Kéniéba)",6160.0,0.0,0.0,4329.511147170451,True,0.7028427186965018
8982689288AAE8DF|2016-05-09|Bozola (Bamako),known_route,Sénou,Sélingué,6160.0,0.0,0.0,4438.32704559717,True,0.7205076372722679
8982689288AAE8DF|2016-05-09|Bozola (Bamako),known_route,Sénou,Wassoulou- Ballé,6160.0,0.0,0.0,4268.3022043054225,True,0.6929062019976335
8982689288AAE8DF|2016-05-09|Bozola (Bamako),known_route,Sénou,Yanfolila,6160.0,0.0,0.0,4295.506178912102,True,0.6973224316415749
8982689288AAE8DF|2016-05-09|Bozola (Bamako),unresolved_route,,UNRESOLVED,6160.0,6160.0,0.0,6160.0,True,1.0
8982689288AAE8DF|2016-05-07|Djikoroni Para (Marché),known_route,Sebeninkoro,Koflatyé,1232.0,0.0,321.0330912025829,1232.0,False,0.7394211922056957
8982689288AAE8DF|2016-05-07|Djikoroni Para (Marché),known_route,Sebeninkoro,Kourémalé (Mali),1232.0,0.0,0.0,910.9669087974171,True,0.7394211922056957
8982689288AAE8DF|2016-05-07|Djikoroni Para (Marché),unresolved_route,,UNRESOLVED,1232.0,1232.0,0.0,910.9669087974171,False,0.7394211922056957
8982689288AAE8DF|2016-05-07|Faladie (Bamako),known_route,Sénou,Sélingué,86047.2,616.0,26519.56250432377,86047.2,False,0.6918021445866481
8982689288AAE8DF|2016-05-07|Faladie (Bamako),unresolved_route,,UNRESOLVED,86047.2,85431.2,0.0,59527.63749567623,False,0.6918021445866481
8982689288AAE8DF|2016-05-08|Faladie (Bamako),known_route,Sénou,Sélingué,308.0,61.6,94.92493946731237,308.0,False,0.6918021445866482
8982689288AAE8DF|2016-05-08|Faladie (Bamako),unresolved_route,,UNRESOLVED,308.0,246.4,0.0,213.07506053268764,False,0.6918021445866482
8982689288AAE8DF|2016-05-09|Faladie (Bamako),known_route,Sénou,Sélingué,2833.6,2833.6,873.3094430992738,2833.6,True,0.6918021445866481
8982689288AAE8DF|2016-05-09|Faladie (Bamako),unresolved_route,,UNRESOLVED,2833.6,0.0,0.0,1960.2905569007262,True,0.6918021445866481
8982689288AAE8DF|2016-05-07|Gare de la Guinée,known_route,Sebeninkoro,Kangaba,2464.0,0.0,0.0,1771.1950788560955,True,0.7188291716136751
8982689288AAE8DF|2016-05-07|Gare de la Guinée,known_route,Sebeninkoro,Koflatyé,2464.0,0.0,0.0,2370.546430207447,True,0.9620724148569184
8982689288AAE8DF|2016-05-07|Gare de la Guinée,known_route,Sebeninkoro,Kokoyo,2464.0,0.0,0.0,2170.762646423663,True,0.8809913337758374
8982689288AAE8DF|2016-05-07|Gare de la Guinée,known_route,Sebeninkoro,Kourémalé (Mali),2464.0,2464.0,0.0,2464.0,True,1.0
